time;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;djf;mam;jja;son;winter;summer;year
1879;-1.65;1.06;3.59;5.3;7.75;15.15;14.03;17.57;12.83;6.48;-0.2;-8.45;-1.25;5.55;15.58;6.37;1.67;12.1;6.12
1880;-5.39;0.29;5.66;7.83;10.35;13.33;17.6;15.22;13.26;8.4;3.98;4.04;-4.52;7.95;15.39;8.55;-0.27;12.93;7.88
1881;-4.06;1.32;4.69;6.51;10.63;14.36;19.41;16.54;11.12;4.53;4.67;-0.56;0.43;7.28;16.77;6.77;3.06;13.1;7.43
1882;-1.32;-0.03;5.28;7.12;11.77;13.71;14.83;14.33;11.04;8.66;4.06;0.8;-0.64;8.06;14.29;7.92;2.09;12.13;7.52
1883;0.05;2.27;-0.35;6.43;11.79;14.11;15.06;15.37;11.96;6.88;3.66;-0.82;1.04;5.96;14.84;7.5;2.58;12.45;7.2
1884;1.21;1.83;4.76;6.39;12.72;11.99;17.41;16.54;12.81;7.05;1.24;0.27;0.74;7.96;15.31;7.03;2.92;12.98;7.85
1885;-4.14;3.1;2.9;8.14;9.12;16.42;17.76;15.69;11.85;6.28;3.63;-0.76;-0.26;6.72;16.63;7.26;1.74;13.16;7.5
1886;-2.21;-2.79;1.81;8.5;11.76;13.13;17.05;15.99;14.74;8.94;3.75;0.07;-1.92;7.36;15.39;9.14;0.99;13.53;7.56
1887;-4.19;-2.51;0.34;6.69;8.82;16.12;18.58;15.82;11.39;4.01;1.98;-1.84;-2.21;5.28;16.84;5.79;1.07;12.9;6.27
1888;-3.27;-2.15;1.72;5.04;12.62;15.11;14.24;14.54;12.88;4.95;3.73;-0.86;-2.42;6.46;14.63;7.19;0.07;12.4;6.55
1889;-2.88;-2.38;0.34;5.87;12.88;15.92;15.88;14.95;11.06;7.07;2.51;-3.33;-2.04;6.36;15.59;6.88;0.48;12.76;6.49
1890;0.72;-3.46;2.9;6.39;12.43;13.8;14.83;15.18;11.74;5.71;2.21;-5.42;-2.02;7.24;14.6;6.56;1.07;12.4;6.42
1891;-6.24;-2.7;2.41;4.84;11.09;14.69;15.36;14.73;13.02;8.81;2.2;0.53;-4.79;6.12;14.92;8.01;-0.67;12.29;6.56
1892;-1.86;0.76;0.21;7.3;11.78;15.17;16.01;17.26;13.24;7.28;4.86;-2.46;-0.19;6.43;16.15;8.46;1.77;13.46;7.46
1893;-6.42;1.18;4.47;10.49;11.64;15.23;16.48;17.34;12.92;9.24;2.01;-1.23;-2.56;8.87;16.35;8.06;1.49;14.02;7.78
1894;-2.75;0.43;3.85;9.15;10.53;14.13;16.98;15.46;11.28;8;3.83;-1.39;-1.19;7.84;15.53;7.7;1.92;12.92;7.46
1895;-5.37;-7.48;1.19;8.26;11.3;15;17.21;16;15.71;7.27;5.89;0.7;-4.75;6.92;16.07;9.62;-0.2;13.92;7.14
1896;-2.55;-1.8;5.6;5.08;9.88;14.83;16.71;13.4;12.08;6.77;1.15;-0.34;-1.22;6.85;14.98;6.67;2.52;11.99;6.73
1897;-2.25;3.23;5.79;7.08;9.79;16.65;17.15;16.09;11.54;6.63;2.67;-0.58;0.21;7.55;16.63;6.95;2.39;13.05;7.82
1898;0.37;0.03;2.37;7.47;10.52;13.66;15.4;17.73;14.42;9.53;4.81;0.08;-0.06;6.79;15.59;9.59;1.91;13.2;8.03
1899;1.66;2.18;3.57;6.62;10.62;14.85;16.63;17.52;12.59;8.45;3.79;-2.52;1.31;6.94;16.33;8.28;3.64;13.14;8
1900;0.59;2.37;-0.12;6.38;10.37;15.91;18.11;15.19;14.41;8.49;4.02;1.61;0.15;5.54;16.4;8.97;2.09;13.4;8.11
1901;-2.45;-5.01;1.62;7.56;12.06;15.35;17.13;15.33;13.02;7.52;0.83;0.07;-1.95;7.08;15.94;7.12;1.38;13.41;6.92
1902;0.03;-0.68;3.49;9.21;7.61;13.9;17.07;15.32;12.36;7.28;1.99;-1.19;-0.19;6.77;15.43;7.21;1.88;12.58;7.2
1903;-1.16;1.69;4.67;3.95;11.55;13.5;15.41;15.77;12.92;8.92;3.29;-1.54;-0.22;6.73;14.89;8.38;2.21;12.18;7.41
1904;-2.16;0.91;3.05;8.9;12.66;15.67;19.31;17.24;11.06;7.92;2.04;0.41;-0.93;8.2;17.41;7.01;2.08;14.14;8.08
1905;-3.49;-0.34;4.28;7.3;10.13;15.59;19.18;16.07;12.76;3.42;2.66;-0.55;-1.14;7.23;16.95;6.28;1.8;13.5;7.25
1906;-0.37;-1.31;2.18;6.74;11.63;14.13;17.05;17.19;12.35;9.93;4.29;-3;-0.75;6.85;16.12;8.86;1;13.18;7.57
1907;-1.98;-3.01;1.97;5.65;12.05;14.35;14.69;16.64;13.34;9.14;4.19;1.73;-2.66;6.55;15.23;8.89;1.37;12.79;7.4
1908;-3.39;-0.36;1.92;5.04;13.17;16.72;16.22;14.52;11.79;7.61;1.59;-0.76;-0.67;6.71;15.82;7;2.2;12.91;7.01
1909;-3.36;-2.95;1.08;8.45;11;13.03;14.33;15.52;11.85;9.2;1.45;1.73;-2.35;6.85;14.29;7.5;0.54;12.37;6.78
1910;-0.18;0.91;3.29;6.36;10.19;14.93;14.5;15.3;10.52;8.79;2.41;2.19;0.82;6.61;14.91;7.24;2.73;11.97;7.44
1911;-4.18;0.08;3.45;6.22;11.74;14.29;19.45;19.42;14.77;8.09;4.84;2.22;-0.63;7.14;17.72;9.23;2.13;14.32;8.37
1912;0.26;3.3;5.74;6.26;12.37;14.7;15.82;12.92;8;6.56;0.89;0.76;1.93;8.12;14.48;5.15;4.07;11.68;7.3
1913;0.7;-0.07;5.41;6.83;11.29;14.28;13.62;14.85;11.86;9.21;6.02;0.26;0.46;7.84;14.25;9.03;2.38;12.12;7.86
1914;-4.8;1.57;4.19;9.28;9.71;13.37;15.05;15.77;12.03;7.46;2.27;2.38;-0.99;7.73;14.73;7.26;2.74;12.54;7.36
1915;-0.56;-0.13;2.06;5.83;13.62;16.63;15.66;14.73;10.94;5.73;0.77;4.18;0.56;7.17;15.67;5.81;2.25;12.9;7.45
1916;2.16;1.17;3.7;7.17;12.38;12.37;15.48;15.52;10.7;7.94;3.34;1.12;2.5;7.75;14.46;7.33;2.95;12.27;7.75
1917;-2.84;-2.98;0.91;4.02;14.49;16.83;16.38;15.14;14.64;6.22;2.88;-4.3;-1.57;6.47;16.12;7.91;1.25;13.58;6.78
1918;-0.54;0.21;3.2;7.07;13.09;12.59;16.4;15.87;12.86;6.3;2.97;2.78;-1.54;7.79;14.95;7.37;1.28;12.98;7.73
1919;-0.49;-0.99;3.12;4.16;11.39;15.18;13.61;17.94;14.69;4.72;1.41;0.99;0.44;6.22;15.57;6.94;2.28;12.83;7.14
1920;2;1.96;5.39;7.89;14.07;14.58;16.49;14.45;12.81;7.79;2.05;-0.05;1.65;9.12;15.17;7.55;2.75;13.38;8.29
1921;2.91;0.03;4.71;6.32;12.71;15.26;19.22;16.37;14.14;10.41;0.38;0.27;0.96;7.91;16.95;8.31;2.91;14;8.56
1922;-1.45;-0.17;3.8;5.25;13.85;15.38;15.22;15.54;10.56;5.98;1.51;0.12;-0.45;7.63;15.38;6.02;2.21;12.63;7.13
1923;-1.01;2.36;3.99;7.21;11.3;11.41;19.09;17.04;12.55;10.12;2.82;-0.26;0.49;7.5;15.85;8.5;2.16;13.1;8.05
1924;-2.17;-2.55;2.93;7.3;12.78;14.62;16.43;13.03;12.76;8.38;3.48;-0.04;-1.66;7.67;14.69;8.21;1.82;12.82;7.25
1925;0.92;2.25;0.59;7.31;11.81;15.65;16.16;15.53;10.52;8.67;1.57;0.11;1.04;6.57;15.78;6.92;2.6;12.83;7.59
1926;-0.57;4.48;4.05;8.7;9.9;12.43;15.92;16.17;15;8.73;5.39;-1.46;1.34;7.55;14.84;9.71;3.05;13.02;8.23
1927;-0.05;-0.27;4.29;7.79;12.54;14.79;16.64;15.28;12.92;7.73;3.55;-0.73;-0.59;8.21;15.57;8.07;2.77;13.33;7.87
1928;1.24;1.9;4.14;7.35;9.58;15.13;20.04;17.64;12.8;7.95;4.91;-0.58;0.8;7.02;17.6;8.55;2.97;13.76;8.51
1929;-4.93;-6.74;3.11;4.99;12.22;15.73;17.78;16.16;15.74;9.01;3.87;2.89;-4.08;6.77;16.56;9.54;0.62;13.77;7.49
1930;1.58;-0.46;4.56;7.99;10.41;17.57;15.56;15.86;13.59;8.16;5.88;0.51;1.33;7.65;16.33;9.21;3.57;13.5;8.43
1931;-0.65;-1.52;0.75;6.37;13.85;17.21;15.84;14.32;8.83;7.1;4.75;-1.41;-0.55;6.99;15.79;6.9;2.19;12.74;7.12
1932;-0.1;-4.01;1.31;5.88;10.66;13.92;15.86;18.5;15.64;8.24;3.99;0.38;-1.84;5.95;16.1;9.29;1.27;13.41;7.52
1933;-3.1;-0.02;4.24;7.99;10.31;12.51;17.65;17.58;13.66;8.59;2.43;-4.42;-0.91;7.51;15.91;8.23;2.29;13.28;7.29
1934;-1.05;-0.84;3.29;9.82;13.67;15.48;17.9;15.24;14.44;8.11;2.37;3.7;-2.1;8.93;16.2;8.31;1.33;14.43;8.51
1935;-2.67;1.16;2.42;6.53;10.16;16.89;18.1;15.49;13.59;8.05;4.44;-0.89;0.73;6.37;16.83;8.7;2.52;13.46;7.77
1936;3.33;0.6;5.3;6.58;12.17;14.53;15.63;15.8;13.01;5.04;3.48;0.85;1.01;8.02;15.32;7.18;3.47;12.95;8.03
1937;0.77;2.85;2.58;7.16;13.48;15.91;17.27;16.46;12.33;8.44;2.84;-1.16;1.49;7.74;16.55;7.87;2.6;13.77;8.24
1938;0.33;-0.59;6.12;4.69;10.16;16.18;16.11;15.93;13.38;8.08;5.56;-1.99;-0.47;6.99;16.07;9;2.67;12.74;7.83
1939;1.2;0.63;0.95;8.52;8.75;15.08;15.61;16.25;12.07;7.06;5.41;-1.27;-0.05;6.07;15.64;8.18;2.4;12.71;7.52
1940;-5.76;-0.2;3.63;7.61;11.51;14.64;15.38;14.84;13.02;7.64;4.37;-4.48;-2.41;7.58;14.95;8.34;1.48;12.83;6.85
1941;-3.44;0.51;4.12;5.8;8.25;15.51;17.99;14.89;12.07;7.1;2.56;-0.48;-2.47;6.06;16.13;7.24;1.45;12.42;7.07
1942;-5.48;-4.2;4.32;7.78;11.93;15.37;16.59;16.65;14.92;10.66;1.75;0.59;-3.39;8.01;16.2;9.11;0.64;13.87;7.57
1943;-0.36;1.56;5.56;8.93;12.88;14.16;17.22;18.19;13.87;10.14;2.33;0.28;0.6;9.12;16.52;8.78;3.29;14.21;8.73
1944;0.77;-2.56;0.85;9.25;11.89;14.05;16.71;19.62;12.43;7.18;3.2;-1.04;-0.51;7.33;16.79;7.6;1.97;13.99;7.7
1945;-5.88;2.98;5.29;9.35;13.97;17.37;18.41;15.88;13.82;8.25;1.88;0.44;-1.32;9.53;17.22;7.98;1.95;14.8;8.48
1946;-2.49;2.88;4.78;10.12;12.84;14.2;17.69;15.99;13.56;7.22;3.12;-1.8;0.28;9.25;15.96;7.97;2.62;14.07;8.18
1947;-3.6;-2.1;4.49;10.33;13.89;17.31;19.07;19.3;15.68;8.66;5.63;0.82;-2.5;9.57;18.56;9.99;1.22;15.93;9.12
1948;2.83;0.97;7.08;8.44;13.2;14.44;14.35;16.02;12.83;8.93;3.78;-0.16;1.54;9.57;14.94;8.51;4.33;13.21;8.56
1949;-0.23;0.5;1.96;10.61;10.45;15.27;18.82;17.61;16.33;10.33;3.08;2.28;0.03;7.67;17.23;9.91;2.46;14.85;8.92
1950;-0.98;2.71;4.67;6.1;13.51;17.73;19.43;16.91;12.78;8.06;4.19;-2.04;1.33;8.09;18.02;8.35;3.68;14.41;8.59
1951;0.75;1.52;2.84;7.33;11.03;14.71;17.11;16.07;13.95;7.56;5.49;0.33;0.08;7.07;15.96;9;2.55;13.37;8.22
1952;-1.4;-1.66;4.79;9.43;12.9;16.69;19.95;17.59;10.33;7.75;2.25;-0.16;-0.91;9.04;18.08;6.77;2.52;14.48;8.2
1953;-3.33;-1.32;4.47;8.67;13.35;13.95;17.11;16.59;13.98;9.64;2.81;1.81;-1.6;8.83;15.89;8.81;1.61;13.94;8.15
1954;-2.85;-1.64;4.99;5.68;10.94;15.42;14.86;14.95;13.51;8.69;4.55;2.21;-0.89;7.2;15.08;8.92;2.46;12.56;7.61
1955;0.09;0.07;1.61;7.76;10.9;14.89;16.53;15.64;12.53;7.07;2.31;3.18;0.79;6.76;15.69;7.3;2.87;13.04;7.72
1956;1.24;-9.21;3.53;5.84;12.23;12.75;16.16;14.24;13.99;6.75;1.47;0.35;-1.6;7.2;14.38;7.41;1.35;12.54;6.61
1957;-1.87;3.52;7.37;7.59;8.99;15.4;16.71;15.14;12.34;7.94;3.63;-0.04;0.67;7.98;15.75;7.97;2.93;12.69;8.06
1958;-0.68;2.98;0.47;4.89;13.73;14.25;17;16.91;14.85;7.51;3.09;1.97;0.75;6.36;16.05;8.48;2.38;13.61;8.08
1959;-0.44;0.86;6.41;8.47;12.5;15.4;18.81;16.12;14.35;8.06;2.13;2.06;0.8;9.13;16.78;8.18;3.23;14.28;8.73
1960;-0.81;1.61;5.34;7.37;13.05;16.04;14.75;15.52;11.32;7.92;5.43;-0.07;0.95;8.59;15.44;8.23;3.07;13.01;8.12
1961;-0.26;4.19;5.63;10.27;10.49;15.6;15.7;15.82;16.59;9.6;3.31;1.1;1.28;8.8;15.71;9.83;3.81;14.08;9
1962;0.91;-0.33;0.76;7.53;9.91;14.42;16.09;17.91;13.11;8.63;1.72;-3.37;0.56;6.07;16.14;7.82;2.56;13.16;7.28
1963;-6.31;-4.73;2.46;8.46;10.94;14.68;17.7;15.03;13.49;8.25;6.68;-2.8;-4.8;7.29;15.8;9.47;-0.26;13.38;6.99
1964;-3;1.77;2.33;8.66;13.4;16.32;18.8;15.92;13.7;6.96;4.51;-0.92;-1.34;8.13;17.02;8.39;2.2;14.47;8.2
1965;0.33;-3.26;3.12;6.02;10.99;15.4;15.2;15.1;11.24;8.09;3.13;2.33;-1.28;6.71;15.23;7.49;1.79;12.32;7.31
1966;-2.48;4.92;2.77;8.95;12.33;16.26;15.17;14.78;14.19;11;1.58;1.1;1.59;8.01;15.4;8.92;3.13;13.61;8.38
1967;-0.56;1.89;4.91;6.44;11.45;14.17;18.69;16.27;12.72;10.86;3.87;-1.6;0.81;7.6;16.38;9.15;3.32;13.29;8.26
1968;-1.39;1.19;4.09;8.63;10.85;14.92;16.33;14.59;12.17;10.42;3.36;-1.02;-0.6;7.85;15.28;8.65;2.83;12.91;7.84
1969;0.19;-1.63;3.23;6.86;12.77;12.88;17.75;15.49;13.8;9.24;4.24;-4.02;-0.82;7.62;15.38;9.1;2.42;13.26;7.57
1970;-0.65;0.36;1.05;5.1;10.64;16.23;16.59;16.53;13.82;7.91;5.26;-1.08;-1.44;5.6;16.45;8.99;1.71;13.15;7.65
1971;-2.11;-0.26;-0.05;9.89;13.25;13.42;18.32;17.6;12.37;9.21;2.26;0.68;-1.15;7.69;16.45;7.95;1.61;14.14;7.88
1972;-0.54;2.66;5.56;6.7;10.8;13.65;16.27;15.46;10.21;6.81;3.93;-0.61;0.93;7.69;15.12;6.98;3.3;12.18;7.57
1973;-1.14;-0.8;2.44;4.55;12.79;15.46;16.38;18;14.15;7.18;3.22;0.01;-0.85;6.59;16.61;8.18;1.77;13.55;7.68
1974;2.51;2.55;6.11;7.56;10.76;13.57;16.32;17.35;12.7;3.9;3.73;3.14;1.69;8.14;15.75;6.78;3.6;13.04;8.35
1975;2.91;1.22;2.8;7.01;11.54;13.53;17.08;16.87;15.05;7.03;3.81;-0.8;2.42;7.12;15.83;8.63;2.95;13.51;8.17
1976;0.61;0.86;2.89;7.15;12.8;17.59;18.3;15.25;11.79;9.78;3.82;-1.51;0.22;7.61;17.05;8.46;2.4;13.81;8.28
1977;0.18;3.96;6.56;5.76;10.99;14.36;16.4;15.13;11.95;9.93;4.18;1.08;0.88;7.77;15.3;8.69;3.8;12.43;8.37
1978;-0.16;-0.15;4.38;6.38;10.39;13.87;15.78;14.87;12.7;7.75;2.65;1.55;0.26;7.05;14.84;7.7;3.21;12.33;7.5
1979;-2.96;1.64;4.49;5.66;11.43;15.4;16.77;15.04;13.24;9.75;3.18;2.88;0.07;7.19;15.74;8.72;2.52;12.92;8.04
1980;-1.54;2.72;4.05;5.34;10.09;13.28;14.52;17.1;14.16;7.79;2.39;-1.26;1.35;6.49;14.97;8.11;3.51;12.42;7.39
1981;-2.28;-1.59;6.67;9;11.49;15.03;15.67;16.97;13.7;8.66;3.66;0.25;-1.71;9.05;15.89;8.67;1.95;13.64;8.1
1982;0.57;0.51;3.43;6.82;12.2;15.99;18.52;16.12;15.17;8.7;5.16;2.18;0.44;7.48;16.88;9.68;2.85;14.14;8.78
1983;2.02;-1.78;4.77;8.16;9.9;16.15;21.27;17.48;14.01;9.1;3.1;0.75;0.81;7.61;18.3;8.74;3.51;14.49;8.74
